manufacturer,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,gwp_error_ratio,gwp_manufacturing_ratio,assembly_location,server_type,gwp_transport_ratio,gwp_eol_ratio
Dell,Workplace,Monitor,523.0,0.262,43.67,6.0,EU,0.1816,0.662,China,,0,0
Dell,Workplace,Monitor,464.0,0.24,35.4,6.0,EU,0.2069,0.69,China,,0,0
Dell,Workplace,Monitor,481.0,0.231,35.4,6.0,EU,0.2037,0.682,China,,0,0
Dell,Workplace,Monitor,523.0,0.289,48.02,6.0,EU,0.1855,0.645,China,,0,0
Dell,Workplace,Monitor,542.0,0.27899999999999997,48.02,6.0,EU,0.1771,0.64,China,,0,0
Dell,Workplace,Monitor,565.0,0.245,40.76,6.0,EU,0.2159,0.626,China,,0.121,0.008
Dell,Workplace,Monitor,538.0,0.316,49.57,6.0,EU,0.2379,0.555,China,,0.121,0.008
Dell,Workplace,Monitor,587.0,0.326,56.5,6.0,EU,0.2385,0.5479999999999999,China,,0.11900000000000001,0.006999999999999999
Dell,Workplace,Monitor,508,0.2790,45.1905,6,EU,0.1909,0.6550,CN,,,
Dell,Workplace,Monitor,577,0.2060,37.7,6,EU,0.1924,0.6610,CN,,,
Dell,Workplace,Monitor,623,0.2530,50.8,6,EU,0.1862,0.6250,CN,,,
Dell,Workplace,Monitor,563.0,0.286,51.33,6.0,EU,0.1794,0.625,China,,0,0
Dell,Workplace,Monitor,579.0,0.283,52.21,6.0,EU,0.1762,0.627,China,,0,0
